"id","best-image","broader","description","type","label","manto-url","wikidata-url","url"
"corinthian_capital","","architecture","","concept","Corinthian capital","","http://www.wikidata.org/entity/Q54124","https://p-lod.org/id/corinthian_capital"
"corinthian_column","","","","concept","","","","https://p-lod.org/id/corinthian_column"
"corn","","","","concept","Corn","","","https://p-lod.org/id/corn"
"cornice","","","","concept","Cornice","","http://www.wikidata.org/entity/Q328092","https://p-lod.org/id/cornice"
"cornucopia","","","","concept","Cornucopia","","http://www.wikidata.org/entity/Q332682","https://p-lod.org/id/cornucopia"
"corolla","","","","concept","Corolla","","http://www.wikidata.org/entity/Q1840192","https://p-lod.org/id/corolla"
"corrina","","","","concept","Corrina","","","https://p-lod.org/id/corrina"
"counter","","","","concept","Counter","","http://www.wikidata.org/entity/Q599007","https://p-lod.org/id/counter"
"cow","","animal","","concept","Cow","","http://www.wikidata.org/entity/Q11748378","https://p-lod.org/id/cow"
"crab","","animal","","concept","Crab","","http://www.wikidata.org/entity/Q40802","https://p-lod.org/id/crab"
"crater","","","","concept","Crater","","http://www.wikidata.org/entity/Q476968","https://p-lod.org/id/crater"
"crenellation","","","","concept","Crenellation","","http://www.wikidata.org/entity/Q23423","https://p-lod.org/id/crenellation"
"crescent","","","","concept","Crescent","","","https://p-lod.org/id/crescent"
"crescent_moon","","","","concept","Crescent moon","","","https://p-lod.org/id/crescent_moon"
"crocodile","","animal","","concept","Crocodile","","http://www.wikidata.org/entity/Q2535664","https://p-lod.org/id/crocodile"
"cross","","","","concept","Cross","","http://www.wikidata.org/entity/Q40843","https://p-lod.org/id/cross"
"crow","","bird","","concept","Crow","","https://www.wikidata.org/entity/Q388450","https://p-lod.org/id/crow"
"crown","","","","concept","Crown","","http://www.wikidata.org/entity/Q170984","https://p-lod.org/id/crown"
"crowning","","","","concept","Crowning","","http://www.wikidata.org/entity/Q172349","https://p-lod.org/id/crowning"
"cube__perspective","","","","concept","","","","https://p-lod.org/id/cube__perspective"
"cup","","vessel","","concept","Cup","","","https://p-lod.org/id/cup"
"cupid","","deity","","concept","Cupid","","http://www.wikidata.org/entity/Q5011","https://p-lod.org/id/cupid"
"curtain","","","","concept","Curtain","","http://www.wikidata.org/entity/Q49005","https://p-lod.org/id/curtain"
"cuttlefish","","fish","","concept","Cuttlefish","","http://www.wikidata.org/entity/Q184479","https://p-lod.org/id/cuttlefish"
"cymbal","","musical_instrument","","concept","Cymbal","","http://www.wikidata.org/entity/Q190172","https://p-lod.org/id/cymbal"
"cyparissus","","mythological_figure","","concept","Cyparissus","","http://www.wikidata.org/entity/Q1056143","https://p-lod.org/id/cyparissus"
"daedalus","","mythological_figure","","concept","Daedalus","","http://www.wikidata.org/entity/Q134756","https://p-lod.org/id/daedalus"
"dagger","","weapon","","concept","Dagger","","http://www.wikidata.org/entity/Q182780","https://p-lod.org/id/dagger"
"danae","","","","concept","Danae","","","https://p-lod.org/id/danae"
"daphne","","mythological_figure","","concept","Daphne","","http://www.wikidata.org/entity/Q194015","https://p-lod.org/id/daphne"
"date","","fruit","","concept","Date","","http://www.wikidata.org/entity/Q1652093","https://p-lod.org/id/date"
"deer","","animal","","concept","Deer","","http://www.wikidata.org/entity/Q23390","https://p-lod.org/id/deer"
"deianira","","mythological_figure","","concept","Deianira","","http://www.wikidata.org/entity/Q272000","https://p-lod.org/id/deianira"
"deidamia","","mythological_figure","","concept","Deidamia","","http://www.wikidata.org/entity/Q431387","https://p-lod.org/id/deidamia"
"deity","","","","concept","Deity","","http://www.wikidata.org/entity/Q178885","https://p-lod.org/id/deity"
"demeter","","olympian_deity","","concept","Demeter","","http://www.wikidata.org/entity/Q40730","https://p-lod.org/id/demeter"
"dentil","","","","concept","Dentil","","http://www.wikidata.org/entity/Q143952","https://p-lod.org/id/dentil"
"diadem","","","","concept","Diadem","","","https://p-lod.org/id/diadem"
"diamond","","","","concept","Diamond","","","https://p-lod.org/id/diamond"
"diana","","roman_deity","","concept","Diana","","http://www.wikidata.org/entity/Q132543","https://p-lod.org/id/diana"
"dido","","mythological_figure","","concept","Dido","","http://www.wikidata.org/entity/Q905162","https://p-lod.org/id/dido"
"diomedes","","mythological_figure","","concept","Diomedes","","http://www.wikidata.org/entity/Q208256","https://p-lod.org/id/diomedes"
"dionysus","","olympian_deity","","concept","Dionysus","","http://www.wikidata.org/entity/Q41680","https://p-lod.org/id/dionysus"
"dioskouros","","","","concept","Dioskouros","","","https://p-lod.org/id/dioskouros"
"diotima","","","","concept","Diotima","","","https://p-lod.org/id/diotima"
